Human Timestamp,Unix Time,Microseconds,Accelerometer X,Accelerometer Y,Accelerometer Z,Gyroscope X,Gyroscope Y,Gyroscope Z,Magnetometer X,Magnetometer Y,Magnetometer Z,IMU Temperature,Pressure,Pressure Temperature
Thu Nov 12 00:12:50 IST 2020,1605120170,950009,0.047287755,0.19060113,-9.805111,-0.25187130803473806,-0.25047618497851987,0.36177269454780053,1282.1941,-415.0869,529.43396,39.746998,98471.78,41.566666
Thu Nov 12 00:12:51 IST 2020,1605120171,31,0.03193547,0.19928586,-9.819365,-0.232117604099658,-0.27571206435991985,0.43325107955792863,1283.1077,-415.25275,529.2994,39.746006,98470.69,41.565002
Thu Nov 12 00:12:51 IST 2020,1605120171,50062,0.017930215,0.19899964,-9.791278,-0.18562904090608018,-0.2450579476919303,0.4241737581509817,1281.903,-413.82526,529.5918,39.7428,98470.25,41.565002
Thu Nov 12 00:12:51 IST 2020,1605120171,100016,0.021628642,0.19180328,-9.80027,-0.24927010638032945,-0.21610562957389248,0.4220064252908505,1282.0857,-414.7707,529.76263,39.751705,98468.58,41.565002
Thu Nov 12 00:12:51 IST 2020,1605120171,150297,0.03606895,0.1929777,-9.808591,-0.12008588158446852,-0.22785338419158518,0.41599191248971884,1282.3213,-414.36417,529.7324,39.743435,98469.41,41.57
Thu Nov 12 00:12:51 IST 2020,1605120171,200037,0.045802556,0.16317707,-9.811731,-0.21413041475691558,-0.24630531098910388,0.45609411600010086,1281.5139,-414.9121,529.1165,39.747944,98469.89,41.57
Thu Nov 12 00:12:51 IST 2020,1605120171,250009,0.015746051,0.17802717,-9.802743,-0.2145582691901738,-0.25194543455998036,0.40368664368102386,1281.9138,-414.68814,529.9949,39.753586,98470.875,41.57
Thu Nov 12 00:12:51 IST 2020,1605120171,300158,0.054956183,0.19918163,-9.80351,-0.2001782545300967,-0.25040818665078285,0.4334534049393426,1282.6036,-413.38574,529.37714,39.746956,98470.06,41.57
Thu Nov 12 00:12:51 IST 2020,1605120171,350022,0.031842906,0.15286812,-9.799806,-0.2431585479747405,-0.2577878455667754,0.41823616086900345,1281.4926,-414.7369,529.9087,39.75094,98469.2,41.57
Thu Nov 12 00:12:51 IST 2020,1605120171,400011,0.03613435,0.17675504,-9.778469,-0.21453438250082646,-0.26394275670084627,0.41358768590187434,1280.8761,-414.93613,529.72736,39.750652,98469.31,41.57
Thu Nov 12 00:12:51 IST 2020,1605120171,450026,0.03121976,0.19032776,-9.823192,-0.19965312681940886,-0.25995481794470043,0.4271930432735858,1281.9941,-414.2693,529.9697,39.7518,98468.44,41.57
